Aars1	Aars
Itprid2	Ssfa2
Jpt2	Hn1l
Kars1	Kars
Kash5	Ccdc155
Kcne5	Kcne1l
Kirrel1	Kirrel
Klk1b8	Klk8
Kpna2rt	Gm10184
Krt87	Krt83
Krtap11-1	Hacl1
LTO1	Oraov1
Lars1	Lars
Ldaf1	Tmem159
Ldb2	Ldb3
Lratd1	Fam84a
Lratd2	Fam84b
Lsm8	Naa38
Lyset	Tmem251
Maco1	Tmem57
Macroh2a1	H2afy
Macroh2a2	H2afy2
Mageb16-ps1	Mageb16
Marchf1	March1
Marchf10	March10
Marchf2	March2
Marchf3	March3
Marchf4	March4
Marchf5	March5
Marchf6	March6
Marchf7	March7
Marchf8	March8
Marchf9	March9
Mars1	Mars
Mchm2	Mcm2
Meak7	Tldc1
Mettl25b	Rrnad1
Mia2	Ctage5
Micos10	Minos1
Mideas	Elmsan1
Minute	Mnt
Mix23	Ccdc58
Mmut	Mut
Mobq2	Mob2
Mobq4	Mob4
Mrtfa	Mkl1
Mrtfb	Mkl2
Ms19	Mms19
Mtag2	Mag
Mtarc1	Marc1
Mtcl2	Soga1
Mtrex	Skiv2l2
Mtss2	Mtss1l
Mydgf	Il25
Naa80	Nat6
Nalf1	Fam155a
Nanos2	Nos2
Nars1	Nars
Nectin2	Pvr
Nherf1	Slc9a3r1
Nherf2	Slc9a3r2
Nherf4	Pdzd3
Nhsl3	C77080
Niban1	Fam129a
Niban2	Fam129b
Niban3	Fam129c
Nicol1	Gm1673
Noct	Ccr4
Nr5a1	Sf1
Nrdc	Nrd1
Ntaq1	Wdyhv1
Nup42	Nupl2
Nupr2	Nupr1l
Obi1	Rnf219
Odad1	Ccdc114
Odad3	Ccdc151
Odad4	Ttc25
Oga	Mgea5
Or1j21	Id3
Or1x2	F3
Ostn	Ostc
Otulinl	Fam105a
Pabir1	Fam122a
Pabir2	Fam122b
Pabir3	Fam122c
Pacc1	Tmem206
Pakap	Palm2
Pals1	Mpp5
Pals2	Mpp6
Pappa	Pag1
Pcdha4	Cnr1
Pcdha6	Cnr2
Pcdhb14	Pcdhb17
Pcdhb21	Pcdhb18
Pcnx1	Pcnx
Peds1	Tmem189
Penk-rs	Penk
Pgap4	Tmem246
Phb1	Phb
Pheta1	Fam109a
Pheta2	Fam109b
Phxr4	Sp5
Pip4p1	Tmem55b
Pip4p2	Tmem55a
Pira1	Pir
Pjvk	Dfnb59
Plaat1	Hrasls
Plaat3	Pla2g16
Plaat5	Hrasls5
Plpbp	Prosc
Pnma8a	Pnmal1
Pnma8b	Pnmal2
Poglut2	Kdelc1
Poglut3	Kdelc2
Polr1f	Twistnb
Polr1g	Cd3eap
Polr1h	Znrd1
Ppihl	Gm7879
Ppp2r3d	Ppp2r3a
Prickle4	Tomm6
Prid1	Pid1
Prkn	Park2
Prss30	Disp1
Prxl2a	Fam213a
Prxl2b	Fam213b
Prxl2c	Aaed1
Psme3ip1	Fam192a
Psrs2	Psd2
Ptgr3	Zadh2
Pwwp3a	Mum1
Pwwp3b	Mum1l1
Pycr3	Pycrl
Qars1	Qars
Ramac	Fam103a1
Rars1	Rars
Rhox3a	Prx
Rhox8	Tox
Rigi	Ddx58
Ro60	Trove2
Rpph1	Parp2
Rr231604	C3
Rr27	Dmd
Rr273	En1
Rr420	Mr1
Rtf2	Rtfdc1
Rtl5	Rgag4
Rtl6	Ldoc1l
Rxylt1	Tmem5
Sars1	Sars
Saxo4	Ppp1r32
Scart1	Cd163l1
Scgb2b20	Scgb2b2
Scn7a	Nav2
Scpro2	Scp2
Selenop	Selp
Septin1	Sept1
Septin10	Sept10
Septin11	Sept11
Septin12	Sept12
Septin2	Sept2
Septin3	Sept3
Septin4	Sept4
Septin5	Sept5
Septin6	Sept6
Septin7	Sept7
Septin8	Sept8
Septin9	Sept9
Serpina1	Spi1
Sft2d1rt	Gm12166
Shisal2a	Fam159a
Shisal2b	Fam159b
Shld2	Fam35a
Sinhcaf	Fam60a
Skic2	Skiv2l
Skic3	Ttc37
Skic8	Wdr61
Slc49a4	Dirc2
Slc66a1	Pqlc2
Slc66a2	Pqlc1
Slc66a3	Pqlc3
Slc6a20b	Sit1
Slx9	Fam207a
Spart	Spg20
Spmip8	Tepp
Srpra	Srpr
Stimate	Tmem110
Sting1	Tmem173
Styxl2	Dusp27
Sypl1	Sypl
Tafa1	Fam19a1
Tafa2	Fam19a2
Tafa4	Fam19a4
Tafa5	Fam19a5
Tafazzin	Taz
Tamalin	Grasp
Tars1	Tars
Tars3	Tarsl2
Tasor	Fam208a
Tasor2	Fam208b
Tcnq2	Tcn2
Tcpm1	Tpm1
Tent2	Papd4
Tent4a	Papd7
Tent4b	Papd5
Tent5a	Fam46a
Tent5b	Fam46b
Tent5c	Fam46c
Tg(ACTA1-Utrn)1Ked	Fer
Tg(Cp-EGFP)25Gaia	Tnr
Tg(Fabp2-KRAS*Val12)#Jig	Kras
Tg(HLA-DRA*0101,HLA-DRB1*0101)1Dmz	Dr1
Tg(Igh-VHyHEL10/Ighm/Ighd)2Ccg	Hc
Tg(LCK-NFKBIA)5Dwb	Lck
Tg(MtTPRMET)243Lng	Mtm1
Tg(Th-MYCN)41Waw	Mycn
Tg(hREN)9Sig	Hr
Tic1	Pim2
Tlcd3a	Fam57a
Tlcd3b	Fam57b
Tlcd4	Tmem56
Tlcd5	Tmem136
Tle5	Aes
Tmsb10b	Gm9844
Tmt1a	Mettl7a1
Tmt1b	Mettl7b
Top6bl	Gm960
Tprg1	Tprg
Tprg1l	Tprgl
Tut4	Zcchc11
Tut7	Zcchc6
Ube3d	Ube2cbp
Ubg	Uba52
Ugt3a2	Ugt3a1
Uqcc5	Smim4
Utp25	Diexf
Uts2	Ucn2
Vars1	Vars
Vcf1	Fam104a
Vcf2	Tmem29
Vpreb1b	Vpreb2
Vps26c	Dscr3
Wars1	Wars
Yars1	Yars
Yju2	Ccdc94
Yju2b	Ccdc130
Zbtb47	Zfp651
Zfp72	Zfp74
Zfp81	Zfp78
Zfp84	Zfp69
Zftraf1	Cyhr1
Zng1	Cbwd1
Znrd2	Sssca1
Zrsr2-ps1	Zrsr1
Zup1	Zufsp
inft2	Inf2
scpt	Sct
skax1	Ska1
skax2	Ska2
skax3	Ska3
thd	Th
