dataset,cells,reference_version,reference_commit,reference_default_wall_s,reference_groups224_wall_s,candidate_source_snapshot,candidate_wall_s,candidate_runs,candidate_statistic,candidate_peak_rss_gib,speedup_vs_default,speedup_vs_groups224,notes
vignette,2850,cytotrace2-fast-1.2.0,d334c0eb017aee99b82ed07ace3f0f2ab3ead400,9.0,13.53,aebce88d422c9bc7ea16d185e1e30508aa446cf3,7.02,3,median,2.52,1.282051,1.92735,224-thread Xeon 8480C; pre-hardening candidate report; NOT finalized HEAD; old repeat count not reconstructed
synthetic_10k,10000,cytotrace2-fast-1.2.0,d334c0eb017aee99b82ed07ace3f0f2ab3ead400,85.2,69.16,aebce88d422c9bc7ea16d185e1e30508aa446cf3,9.53,3,median,6.22,8.940189,7.257083,224-thread Xeon 8480C; pre-hardening candidate report; NOT finalized HEAD; old repeat count not reconstructed
synthetic_50k_bs50000,50000,cytotrace2-fast-1.2.0,d334c0eb017aee99b82ed07ace3f0f2ab3ead400,,2818.23,aebce88d422c9bc7ea16d185e1e30508aa446cf3,31.14,3,median,29.0,,90.501927,224-thread Xeon 8480C; pre-hardening candidate report; NOT finalized HEAD; unmeasured old default extrapolation excluded; old override repeat count not reconstructed
synthetic_100k,100000,cytotrace2-fast-1.2.0,d334c0eb017aee99b82ed07ace3f0f2ab3ead400,,,aebce88d422c9bc7ea16d185e1e30508aa446cf3,60.76,1,single_diagnostic,31.22,,,224-thread Xeon 8480C; pre-hardening candidate report; NOT finalized HEAD; single diagnostic run
synthetic_250k,250000,cytotrace2-fast-1.2.0,d334c0eb017aee99b82ed07ace3f0f2ab3ead400,,,aebce88d422c9bc7ea16d185e1e30508aa446cf3,152.77,1,single_diagnostic,36.9,,,224-thread Xeon 8480C; pre-hardening candidate report; NOT finalized HEAD; single diagnostic run
real_human_265k_bs50000,265480,cytotrace2-fast-1.2.0,d334c0eb017aee99b82ed07ace3f0f2ab3ead400,28216,,aebce88d422c9bc7ea16d185e1e30508aa446cf3,148.13,3,median,64.4,190.481334,,224-thread Xeon 8480C; pre-hardening candidate report; NOT finalized HEAD; old default is one completed production run; not a paired frozen-load window; old approximately 106.7 GiB sample is not a standardized peak
